"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3359","User login with correct email and password","LMS system","Thu Mar 05 12:25:08 UTC 2026","passed","Thu Mar 05 12:25:11 UTC 2026","Authorization","Authentication","",""
"","2058","User login with wrong email or password","LMS system","Thu Mar 05 12:25:08 UTC 2026","passed","Thu Mar 05 12:25:10 UTC 2026","Authorization","Authentication","",""
"","1907","Registration with correct email, username and password","LMS system","Thu Mar 05 12:25:13 UTC 2026","passed","Thu Mar 05 12:25:15 UTC 2026","Registration","Authentication","",""
"","2541","Create course","LMS system","Thu Mar 05 12:25:17 UTC 2026","passed","Thu Mar 05 12:25:20 UTC 2026","Courses","Courses","",""
"","2012","Check displaying of dashboard page","LMS system","Thu Mar 05 12:25:20 UTC 2026","passed","Thu Mar 05 12:25:22 UTC 2026","Dashboard","Dashboard","",""
"","1566","Check displaying of empty courses list","LMS system","Thu Mar 05 12:25:16 UTC 2026","passed","Thu Mar 05 12:25:18 UTC 2026","Courses","Courses","",""
"","1705","Navigation from login page to registration page","LMS system","Thu Mar 05 12:25:13 UTC 2026","passed","Thu Mar 05 12:25:14 UTC 2026","Authorization","Authentication","",""
"","1661","User login with wrong email or password","LMS system","Thu Mar 05 12:25:12 UTC 2026","passed","Thu Mar 05 12:25:13 UTC 2026","Authorization","Authentication","",""
"","2023","User login with wrong email or password","LMS system","Thu Mar 05 12:25:10 UTC 2026","passed","Thu Mar 05 12:25:12 UTC 2026","Authorization","Authentication","",""
"","2987","Edit course","LMS system","Thu Mar 05 12:25:18 UTC 2026","passed","Thu Mar 05 12:25:21 UTC 2026","Courses","Courses","",""
